 , C00, C05, C17, C26, C31, C32, C34, C36, C37, C39, C41
Time(s)/Cell Status, undecided, undecided, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
5.2,0.09903945,0.2027743,0.3375414,0.3586979,0.5576399,0,0.08135389,0.1077183,1.306326,0,0.282254
5.3,0.09470859,0.2145177,0.3980834,0.4046787,0.5355484,0,0.08086732,0.1032892,1.577142,0,0.3170067
5.4,0.09056711,0.2355991,0.3814551,0.3880789,0.5135827,0,0.1047178,0.1677744,1.512482,0,0.3041328
5.5,0.08660674,0.225411,0.3655215,0.4045039,0.5194495,0,0.1004846,0.1608761,1.450473,0,0.2917818
5.6,0.08281954,0.2156635,0.3502533,0.4935936,0.5770831,0,0.09642251,0.1542613,1.44428,0,0.2994633
5.7,0.07919796,0.2063375,0.335623,0.477322,0.6007917,0,0.09252466,0.1479185,1.413862,0,0.2873019
5.8,0.07573474,0.2450448,0.3333381,0.4577423,0.5761501,0,0.09503798,0.1418366,1.355896,0,0.2987492
5.9,0.07242297,0.2663433,0.3194144,0.4654482,0.5525191,0,0.0911961,0.1733284,1.349221,0,0.2916111
6,0.069256,0.2548257,0.3104304,0.4463556,0.5298573,0,0.08750952,0.1662016,1.403979,0,0.2797685
6.1,0.1055278,0.2438062,0.3956786,0.4280462,0.5081251,0,0.08397198,0.1593679,1.416268,0,0.2991018
6.2,0.1009132,0.2332631,0.3791508,0.4104878,0.5382048,0,0.08057743,0.1528151,1.431554,0,0.3460966
6.3,0.09650043,0.2231761,0.3633134,0.3936497,0.5842611,0,0.07732011,0.1465319,1.372863,0,0.3320413
6.4,0.0922806,0.2520385,0.3481375,0.3775023,0.5602975,0,0.07419447,0.1405069,1.316578,0,0.363094
6.5,0.08824529,0.2411395,0.3335956,0.3746214,0.5373167,0,0.07119518,0.1528301,1.2626,0,0.3483485
6.6,0.08438644,0.2402893,0.3196611,0.3592545,0.5152785,0,0.1175349,0.2014834,1.386835,0,0.3342018
6.7,0.08069634,0.2298984,0.325627,0.3445179,0.4941442,0,0.1127836,0.193199,1.367241,0,0.3206297
6.8,0.08579806,0.2199568,0.3450511,0.3932453,0.4738767,0,0.1082244,0.1852552,1.354811,0,0.3076086
6.9,0.08204623,0.2104451,0.3306381,0.3771144,0.5726687,0,0.1038494,0.1776381,1.299266,0,0.2951164
7,0.1187262,0.215912,0.3458759,0.3616453,0.5491804,0,0.09965135,0.1703341,1.245998,0,0.2831315
7.1,0.1135345,0.2246735,0.3696156,0.3684235,0.5747131,0,0.09562297,0.1633305,1.194914,0,0.2716334
7.2,0.1085698,0.2149579,0.3646014,0.3533108,0.5511411,0,0.09175745,0.1566149,1.436635,0,0.2606021
7.3,0.1038222,0.2486625,0.3493717,0.3388181,0.5285358,0,0.08804817,0.1501753,1.377735,0,0.2500189
7.4,0.09928217,0.2379095,0.3347782,0.3902586,0.5879488,0,0.08448885,0.1440005,1.32125,0,0.245778
7.5,0.09494069,0.2719471,0.3519988,0.417012,0.5750011,0,0.08107341,0.1380797,1.324275,0,0.2623104
7.6,0.09078906,0.2601872,0.3681441,0.3999062,0.5514172,0,0.07779604,0.1324022,1.269982,0,0.2516578
7.7,0.08681898,0.2489358,0.3602669,0.3835022,0.5452419,0,0.07465116,0.1269583,1.217915,0,0.2414378
7.8,0.1262762,0.238171,0.3452183,0.367771,0.5228786,0,0.07163341,0.1217381,1.286957,0,0.2316328
7.9,0.1207543,0.2278717,0.3307983,0.3711576,0.5014326,0,0.06873765,0.1167326,1.234194,0,0.2362903
8,0.1296022,0.2180177,0.3792379,0.3742761,0.4967204,0,0.06595895,0.1119329,1.260716,0,0.2516282
8.1,0.1239348,0.2335375,0.3633968,0.4200087,0.5539721,0,0.06329258,0.2473431,1.209029,0,0.2414094
8.2,0.1185153,0.2717406,0.3482175,0.40278,0.5675925,0,0.06073399,0.2371731,1.159461,0,0.2316056
8.3,0.1133328,0.2599896,0.3336722,0.3936273,0.5673215,0,0.05827884,0.2274213,1.352089,0,0.2221999
8.4,0.1083769,0.2487468,0.3197344,0.3774808,0.5686805,0,0.05592293,0.2289255,1.296656,0,0.2131762
8.5,0.1100886,0.2379901,0.3063789,0.4199724,0.5453559,0,0.05366227,0.2195127,1.243495,0,0.280815
8.6,0.1241343,0.2276986,0.3252588,0.4027452,0.5908183,0,0.09555777,0.210487,1.303764,0,0.2694109
8.7,0.1187061,0.2257377,0.3116724,0.3955901,0.5665857,0,0.09169488,0.2018324,1.250312,0,0.2584699
8.8,0.1135152,0.241283,0.3709862,0.3793631,0.5433469,0,0.08798814,0.1935337,1.2642,0,0.2479733
8.9,0.1085514,0.2308491,0.3554898,0.391801,0.5210614,0,0.08443125,0.2069481,1.21237,0,0.2379029
9,0.1158634,0.246971,0.3855669,0.3757294,0.4996899,0,0.08101814,0.198439,1.16889,0,0.3161664
9.1,0.1107969,0.2494707,0.4046006,0.4722557,0.5701183,0,0.07774301,0.1902798,1.152927,0,0.3033266
9.2,0.1059519,0.2468321,0.3877001,0.4528839,0.5731606,0,0.07460027,0.1853564,1.144285,0,0.2910083
9.3,0.1013187,0.2361583,0.4460823,0.4509875,0.6169885,0,0.07158458,0.1777351,1.097371,0,0.2791902
9.4,0.0968882,0.225946,0.4274491,0.4324881,0.5916826,0,0.08210612,0.1704271,1.109697,0,0.2678521
9.5,0.09265141,0.2161753,0.4095942,0.4147475,0.5674145,0,0.07878701,0.1728324,1.162489,0,0.2769274
9.6,0.08859988,0.2068272,0.3924851,0.3977346,0.5441419,0,0.07706659,0.1836374,1.116541,0,0.2656812
9.7,0.08472554,0.212332,0.3894986,0.3814197,0.5218237,0,0.07395119,0.2291522,1.070765,0,0.2685956
9.8,0.0810206,0.20315,0.3732289,0.3657739,0.5998242,0,0.07096174,0.2251127,1.061324,0,0.2576878
9.9,0.07747768,0.1943652,0.3576389,0.3705388,0.5752223,0,0.06809313,0.2158568,1.107733,0,0.2472229
10,0.07408968,0.1859601,0.3824566,0.4144054,0.6285569,0,0.06534048,0.2069814,1.160272,0,0.237183
10.1,0.08695083,0.1867253,0.369095,0.4114794,0.6027765,0,0.06269912,0.1984709,1.114363,0,0.2729573
10.2,0.08314859,0.211323,0.3536776,0.4190335,0.6245313,0,0.1056519,0.1903104,1.068676,0,0.2618723
10.3,0.07951262,0.2021847,0.3389042,0.4018449,0.5989159,0,0.101381,0.1824854,1.024862,0,0.2512375
10.4,0.08739428,0.1934415,0.3247479,0.3853613,0.5743512,0,0.09728266,0.1749821,1.1344,0,0.2615423
10.5,0.08357265,0.1850764,0.3868254,0.3695538,0.550794,0,0.09335005,0.1677874,1.14466,0,0.2509209
10.6,0.07991813,0.1770731,0.3706675,0.3543948,0.6230447,0,0.0895764,0.1608885,1.097731,0,0.2480433
10.7,0.08063953,0.1694159,0.3551844,0.4276254,0.5974903,0,0.0859553,0.1542732,1.052725,0,0.23797
10.8,0.07711326,0.1620897,0.3403481,0.4100843,0.572984,0,0.08248058,0.1739225,1.106328,0,0.2283059
10.9,0.07374121,0.2309116,0.3548672,0.3932627,0.5494829,0,0.07914633,0.1667714,1.060971,0,0.2190342
11,0.0705166,0.2209262,0.3400441,0.3771311,0.5471652,0,0.07594686,0.1599142,1.049797,0,0.2142374
11.1,0.06743301,0.2113726,0.3819104,0.4275748,0.5674385,0,0.07287673,0.153339,1.044797,0,0.205537
11.2,0.07077535,0.2022322,0.3659578,0.4100358,0.5513031,0,0.0699307,0.1470342,1.047888,0,0.19719
11.3,0.06768044,0.193487,0.3506714,0.3932162,0.5286912,0,0.08615503,0.1409886,1.004927,0,0.189182
11.4,0.06472087,0.1851199,0.3360236,0.3939211,0.5451574,0,0.08267223,0.1722257,0.9975988,0,0.1814992
11.5,0.07474465,0.1977527,0.4271675,0.3777626,0.5636906,0,0.07933023,0.1651443,0.9705314,0,0.1741284
11.6,0.09956558,0.1892012,0.4128577,0.3921737,0.5405706,0,0.07612333,0.158354,0.9504361,0,0.2613814
11.7,0.09521171,0.1810195,0.3956123,0.3760868,0.5725274,0,0.07304607,0.151843,0.9114697,0,0.2507665
11.8,0.09104824,0.1731916,0.4378346,0.4225509,0.5562035,0,0.0700932,0.2558371,0.8741009,0,0.2405827
11.9,0.08706682,0.1657022,0.4260416,0.4534284,0.5333906,0,0.06909853,0.2488817,0.8527853,0,0.2308125
12,0.08325951,0.1613596,0.4082455,0.4378255,0.5970128,0,0.06630524,0.2386484,0.8778031,0,0.221439
12.1,0.07961868,0.1543819,0.4016723,0.419866,0.5725261,0,0.06362487,0.2288359,0.979838,0,0.2441994
12.2,0.07613707,0.1477059,0.3848941,0.4026432,0.585866,0,0.1230335,0.2194268,0.9396662,0,0.2342823
12.3,0.07280769,0.1661925,0.3688168,0.3861268,0.6549694,0,0.1180599,0.2104046,0.9011414,0,0.2247679
12.4,0.06962391,0.2282621,0.4178259,0.370288,0.6281056,0,0.1132874,0.2102423,0.8878036,0,0.2506418
12.5,0.08649863,0.2183913,0.4557742,0.4292579,0.6023436,0,0.1087078,0.2015978,0.8878701,0,0.240463
12.6,0.08271616,0.2089473,0.4944668,0.4148633,0.5776383,0,0.1043133,0.227322,0.8810307,0,0.2306976
12.7,0.1076192,0.2111414,0.4785012,0.3978457,0.5539463,0,0.1067299,0.2179752,0.8449098,0,0.2213288
12.8,0.1029132,0.2020109,0.4585139,0.3815261,0.531226,0,0.1024154,0.2090127,0.8102698,0,0.2410738
12.9,0.0984129,0.1932753,0.4393614,0.365876,0.5095182,0,0.0982753,0.2004188,0.8004057,0,0.2312836
13,0.09410944,0.1849174,0.4210089,0.4425521,0.6146005,0,0.09430256,0.1921781,0.7882314,0,0.223075
13.1,0.08999416,0.176921,0.4375771,0.4243988,0.5914947,0,0.09049041,0.1842764,0.9110116,0,0.2140158
13.2,0.08605884,0.1692703,0.4192992,0.4338414,0.5672343,0,0.08683236,0.1880586,0.8736616,0,0.2428923
13.3,0.0822956,0.1894669,0.4017847,0.4160453,0.6059523,0,0.08332218,0.1803262,0.8378429,0,0.2330282
13.4,0.07869692,0.1812737,0.3850019,0.4123752,0.581099,0,0.09260115,0.2196275,0.8596441,0,0.2235648
13.5,0.1012688,0.1734348,0.4498029,0.3954597,0.6078538,0,0.08885778,0.2105971,0.8668223,0,0.29228
13.6,0.09684046,0.1659349,0.4310143,0.4187308,0.5940787,0,0.08526573,0.201938,0.8407968,0,0.2804103
13.7,0.09260576,0.1722564,0.4453893,0.4015545,0.6018053,0,0.08181889,0.1936349,0.8063254,0,0.2690226
